integrate_livonia_title;Integrate The Baltics Further.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_livonia_desc;With the successful integration of Finland the time has come for us to expand our direct control over the Baltic. Our Baltic subjects have long been loyal to us and it is only natural that we seek to annex their lands and incorporate them into the greater empire.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
integrate_lithuania_title;The eastern Baltic is ours.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_lithuania_desc;As Lithuania has been successfully integrated into the Scandinavian Empire it is only fitting that the people of the Baltic states unite under the banner of the Scandinavian Empire.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_novgorod_title;The eastern subject.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_novgorod_desc;In light of recent developments, it is only natural that we consider integrating the Eastern Slavic administration into our larger Scandinavian Empire. The Eastern Slavs have long been our neighbors, and their cultures and traditions are intertwined with ours. By integrating them into our nation, we can better ensure their protection and prosperity, while also strengthening our own power and influence in the region. It is time for us to work together as one united people, bound by a common purpose and a shared destiny.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_vinland_title;The Western lands at the end of the World.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_vinland_desc;Far, Far to the west... there is a land named vinland...a land of peace and green as far as the eye can see, vast and rich, found by and settled by our ancestors who seeked new lands to live in away from all the troubles of europe, that green land that has been part of our subjects for such a long time, considerably more peaceful compared to the troubles in europe, despite the many struggles against other colonizing efforts by our rivals and old subjects the green and vast lands of vinland lie there, awaiting to be made a true part of scandinavia, let it be know that the Nordic Empire RULES ALL OVER THE NORTHERN SEAS! UNDISPUTED AND GRAND! THE NORTHERN EDGE OF THE WORLD BELONGS TO NO ONE ELSE BUT US!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
restore_nordumbren_title;The Restoration Of Nordumbren.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
restore_nordumbren_desc;Following a hard-fought war in Britannia, the Scandinavian forces have emerged victorious and now have the opportunity to reclaim their former subject of Nordumbren. The triumph against the Celtic forces marks a turning point in the conflict, and the Scandinavian people eagerly look forward to reintegrating their once-loyal subjects into the fold of the larger empire. With Nordumbren back under Scandinavian control, the empire stands stronger than ever before.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
dismantle_pridain_title;The Destruction of the celts has come.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
dismantle_pridain_desc;As the Prydish forces have met their ultimate defeat, the Nordic empire shall take this opportunity to reclaim their rightful land in the Isles of Brittania. The time has come to destroy the Prydish nation and reestablish the old borders that were once held by the Nordic empire. May this victory serve as a reminder of our strength and determination to protect what is rightfully ours.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
dominis_mari_baltici_title;DOMINIS MARIS BALTICI!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
dominis_mari_baltici_desc;DOMINIS MARIS BALTICI! The time has finally come for the Nordic Empire to claim its rightful dominion over the lands and peoples of the Baltic. With our borders encircling the sea and our armies firmly in control of the surrounding territories, we can declare ourselves the true masters of the Baltic. Our culture and way of life shall now spread throughout these lands, bringing prosperity and unity to all those who accept our rule. Let this be a new era of greatness for the Nordic Empire and the Baltic peoples under our benevolent guidance.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaiming_illiria_title;Reclaiming Illyria;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
reclaiming_illiria_desc;After many years of struggle and perseverance, Venice has finally been able to reclaim its rightful lands in Illyria. With the support of its allies and the determination of its people, Venice has overcome numerous obstacles to achieve this long-awaited victory. The people of Illyria can now look forward to a bright future under the just and benevolent rule of the Venetian Republic.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embracing_illiria_title;Embrace the Dalmatians.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
embracing_illiria_desc;With the successful recovery of their rightful lands in Illyria, Venice can now begin the process of properly integrating the people into their society.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
tirol_is_ours_title;Tyrol is ours.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
tirol_is_ours_desc;After a long and hard-fought campaign, Venice has succeeded in conquering the region of Tirol and has declared it a core territory. The people of Tirol will now be integrated into the Venetian nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
lombardia_is_gone_title;The end of the Lombards.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
lombardia_is_gone_desc;As the smoke settles and the blood dries, it is clear that the end has come for Lombardia and Aquilea. Their armies have been crushed, their cities have been sacked, and their leaders have been slain. Venice has emerged victorious, and her flag now flies high over the ruins of their once-great nation. Let it be known that these lands are now rightfully Venetian, and no other nation shall dare to claim them as their own. The people of Lombardia and Aquilea shall now know the peace and prosperity that comes with being a part of the mighty Venetian Republic.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
subjugate_the_north_title;Subjugate The North.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
subjugate_the_north_desc;After grueling battles, the forces of Toledo have emerged victorious in their campaign to assert dominance over the northern regions of Iberia. Despite the interference of outside powers, like africa, the armies of Toledo persevered and claimed their rightful place as rulers of the region. The people of Iberia can now look forward to a new era of stability and prosperity under the leadership of Toledo.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
invade_the_south_title;The south is wide open!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
invade_the_south_desc;The council of generals couldn't believe their luck: while the Carthaginians were distracted by the Italian front, they had a golden opportunity to strike at their foes in the south of Iberia. It had been decades since their people had been expelled from those lands, and the memory of that defeat still stung. But now, with a powerful army and a clever strategy, they could finally reclaim what was rightfully theirs. The generals smiled at each other, feeling the thrill of adventure and conquest. They knew the risks were high, but the rewards were even higher. This was their chance to shine and make history.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_pomerania_germans_title;Integrate Pomerania;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_pomerania_germans_desc;After years of possessing and fighting over the lands in Pomerania, the Nordic nation can finally lay a proper claim to the territory as a true core of the nation. The Nordic people have struggled and bled to establish their dominion over the region, and now they can finally rest assured that it is a rightful part of their homeland. With the integration of Pomerania into the Nordic empire, the nation can now focus on consolidating its power and building a better future for all its citizens.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_slavia_title;Let our banner rise across the grand steppe.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_slavia_desc;The dream of a unified Slavic nation has been long pursued by the people of the region, and after many struggles and sacrifices, that dream can finally be realized. The Slavic peoples have endured centuries of oppression and foreign rule, but their shared history, culture, and language have kept their bond strong. Now, with the successful unification of all Slavic nations, a new era of prosperity, security, and self-determination can begin. The Slavic nation will stand tall among the other great nations of the world, representing the unity, strength, and resilience of its people.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_padania_title;Unite north Italy.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_padania_desc;Now that the various states of northern Italy have been brought under one major influence, the time has come to unite the region into the nation of Padania.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_west_title;The western border.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_west_desc;After a period of rebellion and unrest, the Pruskys have finally been pacified and subdued. With the situation now under control, we can move forward with towards properly annexing the Western territories into the nation, we will make sure this isn't repeated from either the Poles or Pruskys.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_south_title;The south is under control.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
integrate_the_south_desc;After many years of conflicts and struggles, the southern subject of Bolkania is now firmly under the control of the Bolkanian authorities. The region is finally stable and ready to be integrated into the greater Bolkanian nation. With this accomplishment, Bolkania can now focus on the task of rebuilding and consolidating its newly expanded territories, bringing prosperity and stability to the people of the south.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
the_western_border_dreams_title;The Dream of two Coasts;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
the_western_border_dreams_desc;Selbapunnica, a powerful empire in the Andronican region, has long dreamed of expanding its territories to include the coveted western coast. Despite numerous attempts in the past, the empire has been unsuccessful in its conquests. However, recent events have put Selbapunnica in a unique position to pursue this goal once again. The empire has strengthened its military power, solidified its alliances, and secured important resources necessary for a successful campaign. With the current instability in the region, Selbapunnica sees an opportunity to strike and fulfill its long-standing ambition. The question now is whether the empire is willing to take the risk and commit to a costly war to achieve its objectives.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
form_andronica_lpl_title;Unite Andronica;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
